"flag","gender","education","house_val","age","online","customer_psy","marriage","child","occupation","mortgage","house_owner","region","fam_income"
"Y","M","4. Grad",756460,"1_Unk","N","B","","U","Professional","1Low","","Midwest","L"
"N","F","3. Bach",213171,"7_>65","N","E","","U","Professional","1Low","Owner","Northeast","G"
"N","M","2. Some College",111147,"2_<=25","Y","C","","Y","Professional","1Low","Owner","Midwest","J"
"Y","M","2. Some College",354151,"2_<=25","Y","B","Single","U","Sales/Service","1Low","","West","L"
"Y","F","2. Some College",117087,"1_Unk","Y","J","Married","Y","Sales/Service","1Low","","South","H"
"Y","F","3. Bach",248694,"6_<=65","Y","B","Married","N","Professional","2Med","Owner","West","G"
"Y","M","3. Bach",2000000,"1_Unk","Y","A","Married","U","Professional","1Low","","Northeast","C"
"N","F","3. Bach",416925,"5_<=55","Y","C","Married","Y","Professional","1Low","Owner","South","I"
"N","F","1. HS",207676,"4_<=45","Y","G","","Y","Blue Collar","1Low","Renter","West","D"
"Y","M","1. HS",241380,"1_Unk","Y","C","Married","U","Sales/Service","1Low","","Northeast","G"
"N","M","2. Some College",158268,"7_>65","Y","C","","Y","Sales/Service","2Med","Owner","Midwest","E"
"Y","F","3. Bach",245686,"4_<=45","N","F","Married","U","Blue Collar","1Low","Owner","South","E"
"Y","F","2. Some College",360587,"5_<=55","Y","C","Married","Y","Professional","3High","Owner","Midwest","J"
"N","M","0. <HS",0,"2_<=25","Y","I","","N","Others","1Low","","West","C"
"Y","F","3. Bach",380431,"6_<=65","Y","B","","U","Professional","1Low","Owner","South","A"
"Y","M","0. <HS",162884,"1_Unk","Y","G","Married","Y","Professional","1Low","Renter","South","C"
"N","F","1. HS",0,"7_>65","N","I","Married","N","Retired","1Low","Owner","South","E"
"Y","F","2. Some College",239560,"5_<=55","Y","C","Married","Y","Sales/Service","2Med","Owner","Midwest","F"
"N","M","0. <HS",60822,"1_Unk","N","G","Single","Y","Blue Collar","1Low","Renter","Midwest","C"
"N","M","1. HS",90426,"4_<=45","Y","I","","N","Blue Collar","1Low","Owner","South","E"
"Y","F","4. Grad",408750,"3_<=35","Y","F","","Y","Sales/Service","3High","Owner","West","F"
"Y","M","3. Bach",0,"4_<=45","N","G","Married","U","Professional","1Low","Renter","West","F"
"N","F","2. Some College",136729,"4_<=45","Y","C","Married","Y","Blue Collar","1Low","Owner","Midwest","G"
"N","U","0. <HS",452622,"3_<=35","N","F","Single","U","Professional","1Low","Renter","South","D"
"N","M","0. <HS",128402,"1_Unk","N","G","Single","U","Sales/Service","1Low","Renter","Northeast","A"
"Y","M","3. Bach",308817,"3_<=35","Y","C","Married","Y","Sales/Service","1Low","Renter","South","F"
"Y","M","4. Grad",206271,"3_<=35","Y","C","Married","Y","Professional","2Med","Owner","West","F"
"N","M","1. HS",0,"1_Unk","N","F","Married","U","Blue Collar","1Low","","Northeast","D"
"Y","M","2. Some College",169113,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","Midwest","F"
"N","F","2. Some College",189878,"2_<=25","Y","E","","Y","Sales/Service","2Med","Owner","South","E"
"Y","F","2. Some College",94503,"5_<=55","Y","F","","Y","Blue Collar","1Low","Owner","Midwest","D"
"Y","M","1. HS",1076582,"5_<=55","Y","B","Married","Y","Professional","3High","Owner","West","F"
"Y","M","2. Some College",325081,"5_<=55","Y","C","Married","Y","Sales/Service","1Low","Owner","Midwest","J"
"Y","F","4. Grad",0,"3_<=35","Y","B","","U","Professional","1Low","","Northeast","E"
"Y","M","2. Some College",1151448,"3_<=35","N","B","Single","N","Professional","2Med","Owner","South","F"
"N","M","4. Grad",0,"5_<=55","Y","G","Single","Y","Professional","1Low","Owner","Northeast","D"
"N","M","0. <HS",308705,"1_Unk","N","C","","Y","Sales/Service","1Low","","West","H"
"Y","F","3. Bach",1500000,"7_>65","Y","B","Married","N","Retired","3High","Owner","South","L"
"N","F","1. HS",46662,"3_<=35","N","F","Married","U","Sales/Service","1Low","Renter","Midwest","D"
"Y","M","1. HS",0,"4_<=45","N","C","Married","Y","Sales/Service","1Low","Renter","South","A"
"N","F","2. Some College",60887,"2_<=25","N","G","","Y","Sales/Service","1Low","Renter","Midwest","D"
"N","M","3. Bach",778260,"5_<=55","N","B","Married","U","Professional","1Low","Owner","West","L"
"N","F","1. HS",90404,"5_<=55","Y","J","","Y","Sales/Service","1Low","Owner","South","E"
"N","F","0. <HS",381500,"6_<=65","Y","D","Married","N","Retired","2Med","Owner","West","F"
"Y","M","4. Grad",371820,"4_<=45","N","B","Married","Y","Professional","1Low","Owner","South","G"
"N","F","3. Bach",129870,"1_Unk","Y","C","","U","Sales/Service","1Low","Owner","Midwest","F"
"N","M","1. HS",0,"5_<=55","Y","A","Single","N","Blue Collar","1Low","Renter","Midwest","B"
"N","M","2. Some College",121398,"1_Unk","N","F","Married","U","Sales/Service","1Low","","South","E"
"N","F","2. Some College",134288,"6_<=65","N","B","","N","Sales/Service","1Low","Owner","South","E"
"Y","F","2. Some College",274680,"4_<=45","Y","B","Married","Y","Professional","3High","Owner","South","B"
"N","M","2. Some College",285353,"5_<=55","N","I","","U","Professional","1Low","Owner","West","E"
"N","F","",582365,"2_<=25","N","B","","N","Professional","1Low","Owner","Northeast","K"
"Y","F","0. <HS",356560,"5_<=55","Y","B","Married","Y","Sales/Service","2Med","Owner","South","G"
"N","M","1. HS",247746,"5_<=55","Y","B","Married","U","Blue Collar","1Low","Owner","Midwest","E"
